run_index,run_key,category,condition_name,attack,defense,split_name,optimizer_name,protected_attr,seed,stopped_reason,finished_round,total_duration_sec,final_val_accuracy,final_val_demographic_parity_gap,final_val_equalized_odds_gap
10,r010__A1_only__split_iid__opt_sgd__attr_race_bin__seed_42,attack_only,A1_only,A1,none,iid,sgd,race_bin,42,completed,30,220.95516061782837,0.9170182841068917,0.025694227833421013,0.05603117853576835
11,r011__A1_only__split_iid__opt_adamw__attr_race_bin__seed_42,attack_only,A1_only,A1,none,iid,adamw,race_bin,42,completed,30,217.13894176483154,0.9344585091420534,0.035450311988578564,0.0629883724675492
12,r012__A1_only__split_iid__opt_fedprox__attr_race_bin__seed_42,attack_only,A1_only,A1,none,iid,fedprox,race_bin,42,completed,30,239.75499081611633,0.9187060478199719,0.018591867273284435,0.043057300222243695
13,r013__A1_only__split_dirichlet_0_5__opt_sgd__attr_race_bin__seed_42,attack_only,A1_only,A1,none,dirichlet_0_5,sgd,race_bin,42,completed,30,228.45123100280762,0.8630098452883262,0.012491910007681128,0.03470866750410667
14,r014__A1_only__split_dirichlet_0_5__opt_adamw__attr_race_bin__seed_42,attack_only,A1_only,A1,none,dirichlet_0_5,adamw,race_bin,42,completed,30,219.8651077747345,0.8579465541490858,0.014074525490174516,0.008957319795999896
15,r015__A1_only__split_dirichlet_0_5__opt_fedprox__attr_race_bin__seed_42,attack_only,A1_only,A1,none,dirichlet_0_5,fedprox,race_bin,42,completed,30,230.6408245563507,0.8241912798874824,0.03287903417515059,0.04277385898798591
16,r016__A1_only__split_strict_non_iid__opt_sgd__attr_race_bin__seed_42,attack_only,A1_only,A1,none,strict_non_iid,sgd,race_bin,42,completed,30,217.6160101890564,0.5175808720112518,0.0,0.0
17,r017__A1_only__split_strict_non_iid__opt_adamw__attr_race_bin__seed_42,attack_only,A1_only,A1,none,strict_non_iid,adamw,race_bin,42,completed,30,226.1150848865509,0.5175808720112518,0.0,0.0
18,r018__A1_only__split_strict_non_iid__opt_fedprox__attr_race_bin__seed_42,attack_only,A1_only,A1,none,strict_non_iid,fedprox,race_bin,42,completed,30,244.87970542907715,0.48241912798874825,0.0,0.0
19,r019__A2_only__split_iid__opt_sgd__attr_race_bin__seed_42,attack_only,A2_only,A2,none,iid,sgd,race_bin,42,completed,30,239.01563048362732,0.9144866385372714,0.028607312116369465,0.05358327696717879
