condition_name,split_name,optimizer_name,final_val_accuracy,final_val_demographic_parity_gap,final_val_equalized_odds_gap
vanilla,iid,sgd,0.9181434599156119,0.02298554038400502,0.06065642413115599
vanilla,iid,adamw,0.929676511954993,0.039954599856269535,0.0805037523754308
vanilla,iid,fedprox,0.9215189873417722,0.023431778176876417,0.05322253357812349
vanilla,dirichlet_0_5,sgd,0.8562587904360056,0.07387829078901997,0.13683769768415627
vanilla,dirichlet_0_5,adamw,0.8410689170182841,0.002087252370659709,0.017115560882746905
vanilla,dirichlet_0_5,fedprox,0.7170182841068917,0.02574094710965702,0.03384546010886713
vanilla,strict_non_iid,sgd,0.48241912798874825,0.0,0.0
vanilla,strict_non_iid,adamw,0.8540084388185654,0.01058638188061578,0.023021986415661888
vanilla,strict_non_iid,fedprox,0.48241912798874825,0.0,0.0
A1_only,iid,sgd,0.9170182841068917,0.025694227833421013,0.05603117853576835
A1_only,iid,adamw,0.9344585091420534,0.035450311988578564,0.0629883724675492
A1_only,iid,fedprox,0.9187060478199719,0.018591867273284435,0.043057300222243695
A1_only,dirichlet_0_5,sgd,0.8630098452883262,0.012491910007681128,0.03470866750410667
A1_only,dirichlet_0_5,adamw,0.8579465541490858,0.014074525490174516,0.008957319795999896
A1_only,dirichlet_0_5,fedprox,0.8241912798874824,0.03287903417515059,0.04277385898798591
A1_only,strict_non_iid,sgd,0.5175808720112518,0.0,0.0
A1_only,strict_non_iid,adamw,0.5175808720112518,0.0,0.0
A1_only,strict_non_iid,fedprox,0.48241912798874825,0.0,0.0
A2_only,iid,sgd,0.9144866385372714,0.028607312116369465,0.05358327696717879
A2_only,iid,adamw,0.9341772151898734,0.01703501609753888,0.0399652140303411
A2_only,iid,fedprox,0.9172995780590717,0.026119854180894353,0.049524913840306634
A2_only,dirichlet_0_5,sgd,0.9029535864978903,0.011863260923035468,0.0111186265983831
A2_only,dirichlet_0_5,adamw,0.8945147679324894,0.054089929110368806,0.09354204915128675
A2_only,dirichlet_0_5,fedprox,0.8028129395218003,0.07659968862976485,0.14028384920914705
A2_only,strict_non_iid,sgd,0.5175808720112518,0.0,0.0
A2_only,strict_non_iid,adamw,0.5175808720112518,0.0,0.0
A2_only,strict_non_iid,fedprox,0.5175808720112518,0.0,0.0
A3_only,iid,sgd,0.9150492264416316,0.02800854962755117,0.06510773987824911
A3_only,iid,adamw,0.9367088607594937,0.02323803059013313,0.06162270106612555
A3_only,iid,fedprox,0.9175808720112517,0.034377829779691116,0.06748478113827425
A3_only,dirichlet_0_5,sgd,0.5237693389592124,0.0035599401443625637,0.007569214317610285
A3_only,dirichlet_0_5,adamw,0.9080168776371308,0.0035802080656708313,0.05826664551458316
A3_only,dirichlet_0_5,fedprox,0.8165963431786216,0.04316586304931219,0.045384439117253095
A3_only,strict_non_iid,sgd,0.48241912798874825,0.0,0.0
A3_only,strict_non_iid,adamw,0.5175808720112518,0.0,0.0
A3_only,strict_non_iid,fedprox,0.48241912798874825,0.0,0.0
A4_only,iid,sgd,0.7043600562587904,0.0034895177059186544,0.010662706526592847
A4_only,iid,adamw,0.8990154711673699,0.08139631549802062,0.16039889304096455
A4_only,iid,fedprox,0.7206751054852321,0.052949429131667225,0.07153076453030627
A4_only,dirichlet_0_5,sgd,0.5181434599156118,0.0008787346221441124,0.0018331805682859762
A4_only,dirichlet_0_5,adamw,0.8810126582278481,0.11216954700165305,0.14485798726174526
A4_only,dirichlet_0_5,fedprox,0.48241912798874825,0.0,0.0
A4_only,strict_non_iid,sgd,0.48241912798874825,0.0,0.0
A4_only,strict_non_iid,adamw,0.48241912798874825,0.0,0.0
A4_only,strict_non_iid,fedprox,0.48241912798874825,0.0,0.0
A5_only,iid,sgd,0.580028129395218,0.010419772696980148,0.01361959152976569
A5_only,iid,adamw,0.9043600562587905,0.03412156080857326,0.07822451761498506
