run_index,run_key,category,condition_name,attack,defense,split_name,optimizer_name,protected_attr,seed,stopped_reason,finished_round,total_duration_sec,final_val_accuracy,final_val_demographic_parity_gap,final_val_equalized_odds_gap
55,r055__A1_D1__split_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A1_D1,A1,D1,iid,sgd,race_bin,42,completed,30,234.2865550518036,0.45457102672292543,0.06384807441006612,0.0801179228654022
56,r056__A1_D1__split_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A1_D1,A1,D1,iid,adamw,race_bin,42,completed,30,235.38046193122864,0.9291139240506329,0.02049121196673037,0.046194479337778205
57,r057__A1_D1__split_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A1_D1,A1,D1,iid,fedprox,race_bin,42,completed,30,245.51975321769714,0.45260196905766525,0.06443618765209524,0.0837784084232297
58,r058__A1_D1__split_dirichlet_0_5__opt_sgd__attr_race_bin__seed_42,attack_defense,A1_D1,A1,D1,dirichlet_0_5,sgd,race_bin,42,completed,30,237.57682347297668,0.45935302390998595,0.06476494020619694,0.08150749723847794
59,r059__A1_D1__split_dirichlet_0_5__opt_adamw__attr_race_bin__seed_42,attack_defense,A1_D1,A1,D1,dirichlet_0_5,adamw,race_bin,42,completed,30,227.56588339805603,0.6736990154711674,0.0021092379124178495,0.006940527391948059
60,r060__A1_D1__split_dirichlet_0_5__opt_fedprox__attr_race_bin__seed_42,attack_defense,A1_D1,A1,D1,dirichlet_0_5,fedprox,race_bin,42,completed,30,280.9189295768738,0.4489451476793249,0.0649342975825522,0.08193347669745477
61,r061__A1_D1__split_strict_non_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A1_D1,A1,D1,strict_non_iid,sgd,race_bin,42,completed,30,235.08895826339722,0.45541490857946554,0.06261997578842216,0.07279695174974743
62,r062__A1_D1__split_strict_non_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A1_D1,A1,D1,strict_non_iid,adamw,race_bin,42,completed,30,235.89706707000732,0.5175808720112518,0.0,0.0
63,r063__A1_D1__split_strict_non_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A1_D1,A1,D1,strict_non_iid,fedprox,race_bin,42,completed,30,243.32588243484497,0.46160337552742614,0.06466119593102593,0.08014142518038025
64,r064__A1_D2__split_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A1_D2,A1,D2,iid,sgd,race_bin,42,completed,30,237.65137672424316,0.4571026722925457,0.06330496282382303,0.07875185080730451
65,r065__A1_D2__split_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A1_D2,A1,D2,iid,adamw,race_bin,42,completed,30,236.4793746471405,0.9308016877637131,0.011482636231348375,0.03727896415112572
66,r066__A1_D2__split_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A1_D2,A1,D2,iid,fedprox,race_bin,42,completed,30,278.3666880130768,0.4579465541490858,0.06565054531014047,0.08127100519401165
67,r067__A1_D2__split_dirichlet_0_5__opt_sgd__attr_race_bin__seed_42,attack_defense,A1_D2,A1,D2,dirichlet_0_5,sgd,race_bin,42,completed,30,242.67604970932007,0.4548523206751055,0.06702738986274148,0.07874009964981554
68,r068__A1_D2__split_dirichlet_0_5__opt_adamw__attr_race_bin__seed_42,attack_defense,A1_D2,A1,D2,dirichlet_0_5,adamw,race_bin,42,completed,30,228.29688477516174,0.9127988748241913,0.014001354859010884,0.028962540664154345
69,r069__A1_D2__split_dirichlet_0_5__opt_fedprox__attr_race_bin__seed_42,attack_defense,A1_D2,A1,D2,dirichlet_0_5,fedprox,race_bin,42,completed,30,256.45051550865173,0.4531645569620253,0.0642874417211381,0.08080389668382337
70,r070__A1_D2__split_strict_non_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A1_D2,A1,D2,strict_non_iid,sgd,race_bin,42,completed,30,247.64453530311584,0.4511954992967651,0.0664530175843111,0.08582457872100402
71,r071__A1_D2__split_strict_non_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A1_D2,A1,D2,strict_non_iid,adamw,race_bin,42,completed,30,233.96567225456238,0.5175808720112518,0.0,0.0
